col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48
175.45.176.0,24609,149.171.126.13,21,tcp,FIN,1.311298,68216,1026,254,252,29,4,ftp,409676.5,5948.304688,64,20,255,255,819393118,3367792243,1066,51,0,0,1849.264593,76.857219,1421930358,1421930359,20.372508,66.011844,0.106938,0.057065,0.049873,0,1,0,0,0,3,3,2,1,1,1,1, Fuzzers,1
175.45.176.0,0,149.171.126.13,0,visa,INT,0.000001,200,0,254,0,0,0,-,800000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223206,1424223206,0.001,0,0,0,0,0,2,,, ,6,6,2,2,2,2,7,DoS,1
175.45.176.1,0,149.171.126.12,0,unas,INT,0.000002,200,0,254,0,0,0,-,400000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1421930741,1421930741,0.002,0,0,0,0,0,2,0,0,0,10,9,2,6,2,2,2,Analysis,1
175.45.176.0,0,149.171.126.13,0,ipx-n-ip,INT,0.000009,200,0,254,0,0,0,-,88888888,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223232,1424223232,0.009,0,0,0,0,0,2,,, ,4,4,3,18,3,3,4,DoS,1
59.166.0.7,30294,149.171.126.9,14461,udp,CON,0.036083,528,304,31,29,0,0,-,87797.57031,50550.11719,4,4,0,0,0,0,132,76,0,0,9.892424,10.815905,1421928050,1421928050,7.005,7.657,0,0,0,0,0,0,0,0,7,6,3,4,1,1,3,,0
175.45.176.3,21957,149.171.126.12,80,tcp,FIN,0.237493,1082,268,254,252,2,1,http,32809.39063,7545.48584,10,6,255,255,1310206168,3891394993,108,45,0,0,1253.251152,66.36907,1421929624,1421929625,26.388111,44.710398,0.063147,0.01331,0.049837,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,0.000006,114,0,254,0,0,0,dns,76000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421931597,1421931597,0.006,0,0,0,0,0,2,0,0,0,7,7,3,3,3,3,3,Generic,1
59.166.0.7,22242,149.171.126.9,80,tcp,FIN,0.004057,1032,822,31,29,2,2,http,1780626.125,1459206.375,8,10,255,255,2090848507,2091835522,129,82,1,82,33.20119,0.682286,1421927948,1421927948,0.528429,0.386556,0.000728,0.000574,0.000154,0,0,1,0,0,2,3,3,13,1,1,1,,0
59.166.0.1,43297,149.171.126.5,25,tcp,FIN,0.506751,37268,3380,31,29,18,8,smtp,577040.8125,52096.58984,52,42,255,255,2677640903,2682777596,717,80,0,0,783.446495,25.749479,1421927705,1421927706,9.929079,12.348902,0.000572,0.000442,0.00013,0,0,0,0,0,1,1,1,5,1,1,1,,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,0.000001,114,0,254,0,0,0,dns,456000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421932927,1421932927,0.001,0,0,0,0,0,2,0,0,0,9,9,4,4,4,4,4,Generic,1
59.166.0.9,46659,149.171.126.7,6881,tcp,FIN,0.013646,1540,1644,31,29,4,4,-,846548.4375,910449.9375,16,18,255,255,2098988204,2105296849,96,91,0,0,61.144335,1.415786,1421928087,1421928087,0.8882,0.775294,0.000584,0.00046,0.000124,0,0,0,0,0,10,9,8,10,6,1,6,,0
59.166.0.7,12784,149.171.126.4,6881,tcp,FIN,0.01714,1540,1644,31,29,4,4,-,673979,724854.1875,16,18,255,255,2639703246,2649178117,96,91,0,0,67.350787,1.971518,1421927609,1421927609,1.121733,0.980412,0.000595,0.00047,0.000125,0,0,0,0,0,11,11,8,14,6,1,7,,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,0.000004,114,0,254,0,0,0,dns,114000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421932437,1421932437,0.004,0,0,0,0,0,2,0,0,0,8,8,4,4,4,4,4,Generic,1
59.166.0.5,22536,149.171.126.4,80,tcp,FIN,1.17434,1580,10168,31,29,3,5,http,9871.076172,65425.68359,12,18,255,255,4288696732,73971154,132,565,1,3924,9835.355427,7952.510013,1421928116,1421928117,106.67927,69.049705,0.000636,0.000491,0.000145,0,0,1,0,0,1,2,3,1,1,1,1,,0
175.45.176.3,65522,149.171.126.14,445,tcp,FIN,0.68191,1250,730,254,252,3,2,-,13444.58984,7496.59082,12,8,255,255,3954727482,1344595080,104,91,0,0,3044.285721,122.697836,1421932206,1421932207,61.991815,80.685859,0.165273,0.093576,0.071697,0,1,0,0,0,5,5,1,1,1,1,1, Fuzzers,1
59.166.0.7,56522,149.171.126.8,143,tcp,FIN,0.032781,7818,14598,31,29,30,32,-,1892315.625,3534486.25,122,126,255,255,414607955,2565218094,64,116,0,0,16.772374,14.81744,1421928220,1421928220,0.267859,0.257824,0.000687,0.000549,0.000138,0,0,0,0,0,13,11,2,5,1,1,1,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,0.000011,114,0,254,0,0,0,dns,41454544,0,2,0,0,0,0,0,57,0,0,0,0,0,1421933651,1421933651,0.011,0,0,0,0,0,2,0,0,0,6,6,3,3,3,3,3,Generic,1
175.45.176.2,48498,149.171.126.10,110,tcp,FIN,1.953021,1046,34456,62,252,7,19,pop3,4092.121826,137780.3906,22,42,255,255,3060943603,2270382981,48,820,0,0,5526.764723,3773.086932,1421931539,1421931541,93.000997,45.821367,0.13256,0.073761,0.058799,0,1,0,0,0,1,1,2,1,1,1,1,Exploits,1
59.166.0.7,61219,149.171.126.3,14541,tcp,FIN,0.025994,3806,51314,31,29,7,26,-,1153189.25,15553436,64,66,255,255,949441942,949802755,59,777,0,0,21.975385,21.271815,1421928186,1421928186,0.406667,0.3894,0.000818,0.000673,0.000145,0,0,0,0,0,2,3,3,2,1,1,2,,0
175.45.176.1,1043,149.171.126.18,53,udp,INT,0.000007,114,0,254,0,0,0,dns,65142856,0,2,0,0,0,0,0,57,0,0,0,0,0,1421932676,1421932676,0.007,0,0,0,0,0,2,0,0,0,4,4,4,4,4,2,4,Generic,1
175.45.176.0,0,149.171.126.13,0,swipe,INT,0.000007,200,0,254,0,0,0,-,114285712,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223198,1424223198,0.007,0,0,0,0,0,2,,, ,5,5,3,3,3,3,5,DoS,1
175.45.176.1,0,149.171.126.12,0,unas,INT,0.000003,200,0,254,0,0,0,-,266666656,0,2,0,0,0,0,0,100,0,0,0,0,0,1421930796,1421930796,0.003,0,0,0,0,0,2,0,0,0,2,2,2,6,2,2,2,Analysis,1
175.45.176.1,21170,149.171.126.17,179,tcp,FIN,0.880315,530,268,254,252,2,1,-,4334.812012,2035.63501,10,6,255,255,3450352885,782066180,53,45,0,0,4679.11146,233.252156,1421928090,1421928091,88.735889,160.634203,0.257302,0.077142,0.18016,0,1,0,0,0,5,5,2,2,1,1,1, Fuzzers,1
59.166.0.8,42131,149.171.126.9,4345,tcp,FIN,0.028626,4014,59460,31,29,7,28,-,1105288.875,16379794,68,70,255,255,3299906204,3305575817,59,849,0,0,22.48007,21.660443,1421927832,1421927832,0.421985,0.407855,0.000612,0.000481,0.000131,0,0,0,0,0,5,4,2,4,1,1,1,,0
175.45.176.3,59728,149.171.126.14,179,tcp,FIN,0.318022,610,268,254,252,2,1,-,13810.36523,5634.830078,10,6,255,255,2499724495,3370262563,61,45,0,0,1620.037498,63.815801,1421927667,1421927667,31.350889,48.502801,0.107884,0.075497,0.032387,0,1,0,0,0,6,6,2,2,2,1,2, Fuzzers,1
59.166.0.5,41885,149.171.126.2,6881,tcp,FIN,0.018933,1540,1644,31,29,4,4,-,610151.5625,656208.75,16,18,255,255,3986303610,1845546466,96,91,0,0,74.981863,2.232325,1421927962,1421927962,1.240667,1.084882,0.000627,0.000487,0.00014,0,0,0,0,0,13,6,9,8,6,1,6,,0
59.166.0.5,57677,149.171.126.9,26109,tcp,FIN,0.014329,2334,14042,31,29,7,11,-,1267359.875,7622025,36,36,255,255,123365118,2294242717,65,390,0,0,27.925302,0.760253,1421927948,1421927948,0.3998,0.403206,0.000827,0.00061,0.000217,0,0,0,0,0,6,7,3,5,1,1,2,,0
175.45.176.1,49978,149.171.126.11,80,tcp,FIN,0.604476,838,268,254,252,2,1,http,9992.125977,2964.55127,10,6,255,255,239361425,2289369873,84,45,1,0,3162.52849,148.147297,1421931760,1421931760,59.945556,104.904,0.142322,0.079948,0.062374,0,1,1,0,0,1,1,1,2,1,1,1,Reconnaissance,1
175.45.176.3,22446,149.171.126.13,2103,tcp,FIN,0.351656,9084,468,254,252,5,2,-,193757.5469,9327.297852,16,8,255,255,51730766,2928870936,568,59,0,0,1411.806672,57.941176,1421933569,1421933569,21.9776,43.183,0.070113,0.04937,0.020743,0,1,0,0,0,2,1,1,1,1,1,1,Exploits,1
175.45.176.0,17978,149.171.126.18,80,tcp,FIN,0.210305,786,268,254,252,2,1,http,26932.3125,8520.957031,10,6,255,255,304153052,1199268003,79,45,1,0,1113.275188,63.591555,1424222804,1424222805,21.044333,39.358,0.062434,0.013509,0.048925,0,1,1,, ,2,1,1,1,1,1,1,Exploits,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,0.000004,114,0,254,0,0,0,dns,114000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421930887,1421930887,0.004,0,0,0,0,0,2,0,0,0,14,14,4,4,4,4,4,Generic,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,0.000009,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1421930816,1421930816,0.009,0,0,0,0,0,2,0,0,0,14,14,5,4,4,4,4,Generic,1
59.166.0.3,28568,149.171.126.4,29419,tcp,FIN,0.223505,424,8824,31,29,1,4,ftp-data,13279.34473,289532.6563,8,12,255,255,791898747,898082946,53,735,0,0,2169.496399,1725.687246,1421928175,1421928175,31.881143,20.272091,0.000643,0.000508,0.000135,0,0,0,0,0,3,3,7,7,1,1,4,,0
59.166.0.5,5922,149.171.126.6,80,tcp,FIN,1.008624,1684,10168,31,29,3,5,http,12405.01953,76175.07031,14,18,255,255,665161996,2811660785,120,565,1,3924,8765.858765,7675.219906,1421927795,1421927796,77.560462,59.300059,0.000645,0.000522,0.000123,0,0,1,0,0,2,1,2,1,1,1,1,,0
175.45.176.1,47439,149.171.126.18,53,udp,INT,0.000003,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421933769,1421933769,0.003,0,0,0,0,0,2,0,0,0,7,7,4,4,4,4,4,Generic,1
175.45.176.0,0,149.171.126.13,0,kryptolan,INT,0.000009,200,0,254,0,0,0,-,88888888,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223204,1424223204,0.009,0,0,0,0,0,2,,, ,6,6,4,13,3,3,6,Backdoor,1
175.45.176.3,50204,149.171.126.14,80,tcp,FIN,1.417237,68185,698,254,252,27,1,-,378477.25,3697.334961,60,16,255,255,2885281750,1407141941,1136,44,0,0,2291.641205,104.427297,1421928103,1421928105,23.45856,87.233336,0.162077,0.108733,0.053344,0,1,0,0,0,3,2,1,2,1,1,1,,0
59.166.0.2,51230,149.171.126.7,27535,tcp,FIN,0.133019,4222,63402,31,29,7,30,-,250430.3906,3761628,72,74,255,255,583888313,649542677,59,857,0,0,113.143764,112.317616,1421928063,1421928063,1.868859,1.815521,0.00061,0.000483,0.000127,0,0,0,0,0,12,4,2,3,1,1,1,,0
59.166.0.0,62302,149.171.126.8,22,tcp,FIN,0.006519,3728,5474,31,29,7,7,ssh,4432581.5,6437797,32,24,255,255,975096306,975443707,117,228,0,0,13.336487,0.375527,1421927781,1421927781,0.21029,0.249043,0.000804,0.000648,0.000156,0,0,0,0,0,1,1,4,4,1,1,3,,0
175.45.176.2,3777,149.171.126.12,520,udp,INT,0.000006,104,0,254,0,0,0,-,69333328,0,2,0,0,0,0,0,52,0,0,0,0,0,1421931292,1421931292,0.006,0,0,0,0,0,2,0,0,0,2,4,2,1,1,1,1, Fuzzers,1
175.45.176.1,0,149.171.126.12,0,idrp,INT,0.000004,200,0,254,0,0,0,-,88888888,0,2,0,0,0,0,0,100,0,0,0,0,0,1421930678,1421930678,0.009,0,0,0,0,0,2,0,0,0,23,18,8,8,8,8,8, Fuzzers,1
175.45.176.1,0,149.171.126.12,0,ax.25,INT,0.000007,200,0,254,0,0,0,-,114285712,0,2,0,0,0,0,0,100,0,0,0,0,0,1421930704,1421930704,0.007,0,0,0,0,0,2,0,0,0,8,9,4,4,4,4,4,Exploits,1
175.45.176.1,48827,149.171.126.13,179,tcp,FIN,2.8833,3010,764,254,252,4,4,-,7755.00293,1969.964966,14,14,255,255,401643514,2351258087,215,55,0,0,13895.59077,465.812375,1421928449,1421928452,221.792313,212.424766,0.211787,0.120186,0.091601,0,1,0,0,0,1,2,1,1,1,1,1, Fuzzers,1
175.45.176.0,0,149.171.126.13,0,unas,INT,0.000008,200,0,254,0,0,0,-,100000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223280,1424223280,0.008,0,0,0,0,0,2,,, ,8,8,4,13,4,4,8,Exploits,1
59.166.0.6,25772,149.171.126.9,60473,tcp,FIN,0.038891,5174,83812,31,29,7,39,-,1052582.875,17052994,90,92,255,255,171464953,2317149206,57,911,0,0,22.408945,21.9784,1421927533,1421927533,0.433382,0.420626,0.000765,0.000604,0.000161,0,0,0,0,0,3,2,2,3,1,1,1,,0
175.45.176.3,27169,149.171.126.12,110,tcp,FIN,1.914703,954,3588,62,252,7,8,pop3,3789.621582,14243.46191,20,20,255,255,1328028836,2904606351,48,179,0,0,4973.626865,122.027117,1421930741,1421930743,100.773845,95.373422,0.195627,0.101754,0.093873,0,1,0,0,0,1,1,6,1,1,1,1,Exploits,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,0.000011,114,0,254,0,0,0,dns,41454544,0,2,0,0,0,0,0,57,0,0,0,0,0,1421933587,1421933587,0.011,0,0,0,0,0,2,0,0,0,11,11,1,1,1,1,1,Generic,1
175.45.176.0,0,149.171.126.13,0,bna,INT,0.000003,200,0,254,0,0,0,-,266666656,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223195,1424223195,0.003,0,0,0,0,0,2,,, ,5,5,1,1,1,1,5,DoS,1
175.45.176.1,21913,149.171.126.16,25,tcp,FIN,1.443748,11133,1788,62,252,11,8,smtp,59489.60547,9414.385742,28,20,255,255,2351359870,4052713687,398,89,0,0,2932.05596,84.233391,1424222995,1424222997,53.472148,76.537445,0.115845,0.065708,0.050137,0,1,,, ,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,53567,149.171.126.12,5357,tcp,FIN,0.306685,6918,268,254,252,4,1,-,167572.5938,5843.128906,14,6,255,255,3300541474,3367912779,494,45,0,0,1348.626083,82.569875,1421933790,1421933790,23.521154,55.063801,0.083785,0.031356,0.052429,0,1,0,0,0,1,1,1,2,1,1,1,Exploits,1
175.45.176.1,24715,149.171.126.19,80,tcp,FIN,0.613163,794,3024,62,252,2,2,http,9328.677734,35514.21094,10,10,255,255,439887677,2017252317,79,302,1,1046,4731.592597,117.773367,1424222390,1424222391,68.129222,64.685891,0.08806,0.030299,0.057761,0,1,1,, ,1,1,1,2,1,1,1,Exploits,1
175.45.176.0,0,149.171.126.13,0,nvp,INT,0.000006,180,0,254,0,0,0,-,119999992,0,2,0,0,0,0,0,90,0,0,0,0,0,1424223147,1424223147,0.006,0,0,0,0,0,2,,, ,10,10,10,10,10,10,10,Exploits,1
175.45.176.3,28070,149.171.126.16,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421933706,1421933706,0.011,0,0,0,0,0,2,0,0,0,3,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,0.000005,114,0,254,0,0,0,dns,91200000,0,2,0,0,0,0,0,57,0,0,0,0,0,1421930937,1421930937,0.005,0,0,0,0,0,2,0,0,0,11,11,3,3,3,3,3,Generic,1
59.166.0.5,29159,149.171.126.4,5190,tcp,FIN,0.004745,1470,1728,31,29,5,4,-,2367123.25,2706006.25,22,14,255,255,2344281670,2344603409,67,123,0,0,13.755414,0.411583,1421927694,1421927694,0.225952,0.307308,0.000735,0.000605,0.00013,0,0,0,0,0,6,4,3,4,1,1,1,,0
59.166.0.6,32658,149.171.126.6,31379,tcp,FIN,0.380362,4264,3080,31,29,7,7,-,86486.03125,62635.06641,28,30,255,255,740653562,743909384,152,103,0,0,769.641824,19.299328,1421927902,1421927903,14.073703,13.097069,0.00069,0.00054,0.00015,0,0,0,0,0,1,3,2,3,1,1,1,,0
175.45.176.0,0,149.171.126.13,0,br-sat-mon,INT,0.000008,200,0,254,0,0,0,-,100000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1424223210,1424223210,0.008,0,0,0,0,0,2,,, ,4,4,2,10,2,2,4, Fuzzers ,1
59.166.0.6,24128,149.171.126.0,20179,tcp,FIN,0.038308,3806,51210,31,29,7,26,-,782499.75,10527305,64,64,255,255,3046559883,901465051,59,800,0,0,34.840139,35.45085,1421928017,1421928017,0.602413,0.598587,0.000749,0.000587,0.000162,0,0,0,0,0,8,14,11,6,1,1,2,,0
